ticker,week,weekly_close,weekly_return,next_week_return,lag1_return,news_count,fda_mention_count,regulatory_event_flag,week_start
BMY,2025-12-08/2025-12-14,51.79787063598633,0.004985589668969448,0.033962953642673765,0.05995937662074402,0.0,0.0,0.0,2025-12-08
BMY,2025-12-15/2025-12-21,53.55707931518555,0.033962953642673765,0.008304114335475399,0.004985589668969448,15.0,0.0,0.0,2025-12-15
BMY,2025-12-22/2025-12-28,54.00182342529297,0.008304114335475399,-0.01003344528856287,0.033962953642673765,3.0,0.0,0.0,2025-12-22
BMY,2025-12-29/2026-01-04,53.459999084472656,-0.01003344528856287,0.04489340753797322,0.008304114335475399,6.0,0.0,0.0,2025-12-29
BMY,2026-01-05/2026-01-11,55.86000061035156,0.04489340753797322,-0.0107411794175164,-0.01003344528856287,1.0,0.0,0.0,2026-01-05
BMY,2026-01-12/2026-01-18,55.2599983215332,-0.0107411794175164,-0.011038668371015858,0.04489340753797322,5.0,0.0,0.0,2026-01-12
BMY,2026-01-19/2026-01-25,54.650001525878906,-0.011038668371015858,0.007319262580298913,-0.0107411794175164,3.0,0.0,0.0,2026-01-19
BMY,2026-01-26/2026-02-01,55.04999923706055,0.007319262580298913,0.12606725772185157,-0.011038668371015858,3.0,0.0,0.0,2026-01-26
BMY,2026-02-02/2026-02-08,61.9900016784668,0.12606725772185157,-0.020164542122188878,0.007319262580298913,3.0,0.0,0.0,2026-02-02
BMY,2026-02-09/2026-02-15,60.7400016784668,-0.020164542122188878,-0.0013171193421789296,0.12606725772185157,3.0,0.0,0.0,2026-02-09
BMY,2026-02-16/2026-02-22,60.65999984741211,-0.0013171193421789296,0.028189895957370537,-0.020164542122188878,4.0,0.0,0.0,2026-02-16
BMY,2026-02-23/2026-03-01,62.369998931884766,0.028189895957370537,-0.03334933544938845,-0.0013171193421789296,4.0,0.0,0.0,2026-02-23
BMY,2026-03-02/2026-03-08,60.290000915527344,-0.03334933544938845,-0.020069647803920176,0.028189895957370537,2.0,0.0,0.0,2026-03-02
BSX,2025-12-01/2025-12-07,97.5199966430664,-0.03996854808824246,-0.05065622418028415,0.04851367372918558,0.0,0.0,0.0,2025-12-01
BSX,2025-12-08/2025-12-14,92.58000183105467,-0.05065622418028415,0.032728437236652974,-0.03996854808824246,0.0,0.0,0.0,2025-12-08
BSX,2025-12-15/2025-12-21,95.61000061035156,0.032728437236652974,0.0047065886975161675,-0.05065622418028415,0.0,0.0,0.0,2025-12-15
BSX,2025-12-22/2025-12-28,96.05999755859376,0.0047065886975161675,-0.014053700899769983,0.032728437236652974,1.0,0.0,0.0,2025-12-22
BSX,2025-12-29/2026-01-04,94.70999908447266,-0.014053700899769983,0.03093654665293033,0.0047065886975161675,12.0,0.0,0.0,2025-12-29
BSX,2026-01-05/2026-01-11,97.63999938964844,0.03093654665293033,-0.09801310686856479,-0.014053700899769983,13.0,0.0,0.0,2026-01-05
BSX,2026-01-12/2026-01-18,88.06999969482422,-0.09801310686856479,0.050414470952555135,0.03093654665293033,51.0,0.0,0.0,2026-01-12
BSX,2026-01-19/2026-01-25,92.51000213623048,0.050414470952555135,0.011025798503002227,-0.09801310686856479,19.0,0.0,0.0,2026-01-19
BSX,2026-01-26/2026-02-01,93.52999877929688,0.011025798503002227,-0.18453974512454518,0.050414470952555135,7.0,0.0,0.0,2026-01-26
BSX,2026-02-02/2026-02-08,76.2699966430664,-0.18453974512454518,-0.02019133806101736,0.011025798503002227,17.0,0.0,0.0,2026-02-02
BSX,2026-02-09/2026-02-15,74.7300033569336,-0.02019133806101736,-0.002007246342040858,-0.18453974512454518,24.0,0.0,0.0,2026-02-09
BSX,2026-02-16/2026-02-22,74.58000183105469,-0.002007246342040858,0.03043706874945662,-0.02019133806101736,9.0,0.0,0.0,2026-02-16
BSX,2026-02-23/2026-03-01,76.8499984741211,0.03043706874945662,-0.07156799101111366,-0.002007246342040858,24.0,0.0,0.0,2026-02-23
BSX,2026-03-02/2026-03-08,71.3499984741211,-0.07156799101111366,-0.031114243422280197,0.03043706874945662,11.0,0.0,0.0,2026-03-02
CI,2025-12-01/2025-12-07,263.9857482910156,-0.037322928899125474,0.034885440190698835,-0.002912813338266096,0.0,0.0,0.0,2025-12-01
CI,2025-12-08/2025-12-14,273.19500732421875,0.034885440190698835,-0.010229272522261357,-0.037322928899125474,0.0,0.0,0.0,2025-12-08
CI,2025-12-15/2025-12-21,270.4004211425781,-0.010229272522261357,0.01699207977535311,0.034885440190698835,0.0,0.0,0.0,2025-12-15
CI,2025-12-22/2025-12-28,274.9950866699219,0.01699207977535311,0.009439089099492204,-0.010229272522261357,0.0,0.0,0.0,2025-12-22
CI,2025-12-29/2026-01-04,277.5907897949219,0.009439089099492204,-0.0006090525659637747,0.01699207977535311,0.0,0.0,0.0,2025-12-29
CI,2026-01-05/2026-01-11,277.4217224121094,-0.0006090525659637747,-0.024162111114227947,0.009439089099492204,0.0,0.0,0.0,2026-01-05
CI,2026-01-12/2026-01-18,270.7186279296875,-0.024162111114227947,0.025678882026507255,-0.0006090525659637747,0.0,0.0,0.0,2026-01-12
CI,2026-01-19/2026-01-25,277.6703796386719,0.025678882026507255,-0.018230840153810934,-0.024162111114227947,0.0,0.0,0.0,2026-01-19
CI,2026-01-26/2026-02-01,272.60821533203125,-0.018230840153810934,0.06544826911438784,0.025678882026507255,4.0,0.0,0.0,2026-01-26
CI,2026-02-02/2026-02-08,290.449951171875,0.06544826911438784,-0.0020886866501412804,-0.018230840153810934,31.0,0.0,0.0,2026-02-02
CI,2026-02-09/2026-02-15,289.8432922363281,-0.0020886866501412804,-0.0381897082258279,0.06544826911438784,28.0,0.0,0.0,2026-02-09
CI,2026-02-16/2026-02-22,278.7742614746094,-0.0381897082258279,0.033926791554345304,-0.0020886866501412804,20.0,0.0,0.0,2026-02-16
CI,2026-02-23/2026-03-01,288.232177734375,0.033926791554345304,-0.057599997967133665,-0.0381897082258279,24.0,0.0,0.0,2026-02-23
CI,2026-03-02/2026-03-08,271.6300048828125,-0.057599997967133665,-0.016345773153160215,0.033926791554345304,24.0,0.0,0.0,2026-03-02
CVS,2025-12-01/2025-12-07,75.0128173828125,-0.05886019631296746,0.05011238720596256,0.029860354101887587,0.0,0.0,0.0,2025-12-01
CVS,2025-12-08/2025-12-14,78.77188873291016,0.05011238720596256,-0.021405183195511324,-0.05886019631296746,0.0,0.0,0.0,2025-12-08
CVS,2025-12-15/2025-12-21,77.08576202392578,-0.021405183195511324,0.024318114449189077,0.05011238720596256,6.0,0.0,0.0,2025-12-15
CVS,2025-12-22/2025-12-28,78.96034240722656,0.024318114449189077,0.006531819442310738,-0.021405183195511324,2.0,0.0,0.0,2025-12-22
CVS,2025-12-29/2026-01-04,79.4760971069336,0.006531819442310738,0.0021216095741123375,0.024318114449189077,6.0,0.0,0.0,2025-12-29
CVS,2026-01-05/2026-01-11,79.64471435546875,0.0021216095741123375,-0.021170699801287274,0.006531819442310738,2.0,0.0,0.0,2026-01-05
CVS,2026-01-12/2026-01-18,77.95858001708984,-0.021170699801287274,0.06479623048589733,0.0021216095741123375,8.0,0.0,0.0,2026-01-12
CVS,2026-01-19/2026-01-25,83.01000213623047,0.06479623048589733,-0.10227689765904158,-0.021170699801287274,0.0,0.0,0.0,2026-01-19
CVS,2026-01-26/2026-02-01,74.5199966430664,-0.10227689765904158,0.05139562538360698,0.06479623048589733,5.0,0.0,0.0,2026-01-26
CVS,2026-02-02/2026-02-08,78.3499984741211,0.05139562538360698,0.0016592837950779593,-0.10227689765904158,1.0,0.0,0.0,2026-02-02
CVS,2026-02-09/2026-02-15,78.4800033569336,0.0016592837950779593,-0.022808369507660076,0.05139562538360698,4.0,0.0,0.0,2026-02-09
CVS,2026-02-16/2026-02-22,76.69000244140625,-0.022808369507660076,0.04185681291280696,0.0016592837950779593,4.0,0.0,0.0,2026-02-16
CVS,2026-02-23/2026-03-01,79.9000015258789,0.04185681291280696,-0.024781017761211,-0.022808369507660076,1.0,0.0,0.0,2026-02-23
CVS,2026-03-02/2026-03-08,77.91999816894531,-0.024781017761211,-0.02297229155019076,0.04185681291280696,3.0,0.0,0.0,2026-03-02
GILD,2025-12-01/2025-12-07,119.7445831298828,-0.03671327383746403,-0.00676456859763519,-0.006317159692005636,0.0,0.0,0.0,2025-12-01
GILD,2025-12-08/2025-12-14,118.93456268310548,-0.00676456859763519,0.03912716352200074,-0.03671327383746403,0.0,0.0,0.0,2025-12-08
GILD,2025-12-15/2025-12-21,123.588134765625,0.03912716352200074,0.0032987335470757717,-0.00676456859763519,0.0,0.0,0.0,2025-12-15
GILD,2025-12-22/2025-12-28,123.99581909179688,0.0032987335470757717,-0.024859682089638402,0.03912716352200074,0.0,0.0,0.0,2025-12-22
GILD,2025-12-29/2026-01-04,120.91332244873048,-0.024859682089638402,-0.004111847346137121,0.0032987335470757717,0.0,0.0,0.0,2025-12-29
GILD,2026-01-05/2026-01-11,120.41614532470705,-0.004111847346137121,0.03146164731643197,-0.024859682089638402,0.0,0.0,0.0,2026-01-05
GILD,2026-01-12/2026-01-18,124.2046356201172,0.03146164731643197,0.08822346780509527,-0.004111847346137121,0.0,0.0,0.0,2026-01-12
GILD,2026-01-19/2026-01-25,135.1623992919922,0.08822346780509527,0.04428752169083716,0.03146164731643197,0.0,0.0,0.0,2026-01-19
GILD,2026-01-26/2026-02-01,141.14840698242188,0.04428752169083716,0.0743218978147957,0.08822346780509527,0.0,0.0,0.0,2026-01-26
GILD,2026-02-02/2026-02-08,151.63882446289062,0.0743218978147957,0.016262348555545758,0.04428752169083716,0.0,0.0,0.0,2026-02-02
GILD,2026-02-09/2026-02-15,154.10482788085938,0.016262348555545758,-0.023099756084858036,0.0743218978147957,0.0,0.0,0.0,2026-02-09
GILD,2026-02-16/2026-02-22,150.5450439453125,-0.023099756084858036,-0.01618234929232565,0.016262348555545758,0.0,0.0,0.0,2026-02-16
GILD,2026-02-23/2026-03-01,148.10887145996094,-0.01618234929232565,-0.03370259588894531,-0.023099756084858036,0.0,0.0,0.0,2026-02-23
GILD,2026-03-02/2026-03-08,143.11721801757812,-0.03370259588894531,0.013085689489547692,-0.01618234929232565,0.0,0.0,0.0,2026-03-02
JNJ,2025-12-01/2025-12-07,200.8621826171875,-0.02411564978871672,0.0477889050072835,0.021254417498860034,0.0,0.0,0.0,2025-12-01
JNJ,2025-12-08/2025-12-14,210.4611663818359,0.0477889050072835,-0.024624254582994554,-0.02411564978871672,0.0,0.0,0.0,2025-12-08
JNJ,2025-12-15/2025-12-21,205.2787170410156,-0.024624254582994554,0.0061055607364999265,0.0477889050072835,0.0,0.0,0.0,2025-12-15
JNJ,2025-12-22/2025-12-28,206.5320587158203,0.0061055607364999265,-0.0013485493656025804,-0.024624254582994554,0.0,0.0,0.0,2025-12-22
JNJ,2025-12-29/2026-01-04,206.2535400390625,-0.0013485493656025804,-0.01427539714339654,0.0061055607364999265,0.0,0.0,0.0,2025-12-29
JNJ,2026-01-05/2026-01-11,203.30918884277344,-0.01427539714339654,0.06981747545476158,-0.0013485493656025804,0.0,0.0,0.0,2026-01-05
JNJ,2026-01-12/2026-01-18,217.50372314453125,0.06981747545476158,0.006768472499993683,-0.01427539714339654,0.0,0.0,0.0,2026-01-12
JNJ,2026-01-19/2026-01-25,218.97589111328125,0.006768472499993683,0.032297632940983645,0.06981747545476158,0.0,0.0,0.0,2026-01-19
JNJ,2026-01-26/2026-02-01,226.0482940673828,0.032297632940983645,0.056061639357806836,0.006768472499993683,0.0,0.0,0.0,2026-01-26
JNJ,2026-02-02/2026-02-08,238.7209320068359,0.056061639357806836,0.014417236637186415,0.032297632940983645,0.0,0.0,0.0,2026-02-02
JNJ,2026-02-09/2026-02-15,242.16262817382812,0.014417236637186415,-0.0039432603020597146,0.056061639357806836,0.0,0.0,0.0,2026-02-09
JNJ,2026-02-16/2026-02-22,241.2077178955078,-0.0039432603020597146,0.029942138018163034,0.014417236637186415,0.0,0.0,0.0,2026-02-16
JNJ,2026-02-23/2026-03-01,248.42999267578125,0.029942138018163034,-0.032322984406220834,-0.0039432603020597146,22.0,0.0,0.0,2026-02-23
